stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110526_7,15.0,0.0,1.0,6421.0,0.06536001017680707,2977901.0,98.52117156982422,252.0,2977901.0
20110526_8,15.0,0.0,1.0,13585.5,0.06892776234006517,3328250.0,95.38993072509766,245.0,3328250.0
20110530_4,19.0,0.0,1.0,941.0,0.4927550892305499,1404186.0,113.07666015625,230.0,1404186.0
20110530_5,19.0,0.0,1.0,1365.0,0.292007252316,1439301.0,122.09883117675781,252.0,1439301.0
20110530_6,19.0,0.0,1.0,1261.5,0.26856626033791353,1618649.0,115.38700866699219,250.0,1618649.0
20110530_7,19.0,0.0,1.0,1322.5,0.20858604553115315,1654581.0,116.08650970458984,252.0,1654581.0
20110530_8,19.0,0.0,1.0,1916.0,0.13438521045196752,1758217.0,118.64613342285156,254.0,1758217.0
20110530_9,19.0,0.0,1.0,781.0,0.3593788860153206,1171350.0,120.1877670288086,255.0,1171350.0
20110603_1,23.0,0.0,1.0,289.0,0.3136891366809829,519590.0,125.17224884033203,227.0,519590.0
20110603_10,23.0,0.0,1.0,1443.5,0.22393698053030164,1360432.0,154.68243408203125,255.0,1360432.0
20110603_3,23.0,0.0,1.0,789.5,0.35508043821379803,1270329.0,140.88156127929688,239.0,1270329.0
20110603_5,23.0,0.0,1.0,855.5,0.3091868988881075,1537723.0,139.5646209716797,254.0,1537723.0
20110603_6,23.0,0.0,1.0,884.5,0.2924465092538532,1337095.0,145.74830627441406,255.0,1337095.0
20110603_9,23.0,0.0,1.0,577.0,0.4536386952686473,1120687.0,138.6474151611328,236.0,1120687.0
20110607_1,27.0,0.0,1.0,481.0,0.3116982659189942,760922.0,126.8203353881836,255.0,760922.0
20110607_2,27.0,0.0,1.0,628.5,0.2749088282922853,803068.0,124.81629180908203,253.0,803068.0
20110607_3,27.0,0.0,1.0,720.5,0.423687410883413,782913.0,128.85336303710938,255.0,782913.0
20110607_4,27.0,0.0,1.0,646.5,0.42758647564527935,745445.0,124.11671447753906,252.0,745445.0
20110607_7,27.0,0.0,1.0,1022.0,0.2782138043374385,1365808.0,127.04009246826172,250.0,1365808.0
20110607_9,27.0,0.0,1.0,720.0,0.401677819009758,1181887.0,128.54981994628906,255.0,1181887.0
20110610_1,30.0,0.0,1.0,1331.0,0.2200764109017398,1961454.0,142.62008666992188,255.0,1961454.0
20110610_10,30.0,0.0,1.0,757.0,0.4457638432305804,1376018.0,109.94071960449219,246.0,1376018.0
20110610_3,30.0,0.0,1.0,1853.5,0.13776573347393364,1898336.0,100.65408325195312,252.0,1898336.0
20110610_4,30.0,0.0,1.0,2189.5,0.15304123906583642,1851067.0,118.06027221679688,255.0,1851067.0
20110610_6,30.0,0.0,1.0,1412.0,0.22660870091523933,1683887.0,120.44971466064453,253.0,1683887.0
20110610_9,30.0,0.0,1.0,626.5,0.3736551402626772,1110211.0,99.4100112915039,247.0,1110211.0
20110617_1,37.0,0.0,1.0,484.5,0.40782761983505283,893415.0,118.85260009765625,255.0,893415.0
20110617_10,37.0,0.0,1.0,496.0,0.430798181477336,603152.0,119.86327362060547,252.0,603152.0
20110617_3,37.0,0.0,1.0,917.5,0.29128194524007817,1329652.0,109.66201782226562,224.0,1329652.0
20110617_6,37.0,0.0,2.0,864.5,0.2771533515033973,1280585.0,119.17961883544922,251.0,1280585.0
20110617_8,37.0,0.0,1.0,500.0,0.37892520907428534,993189.0,119.54609680175781,253.0,993189.0
20110617_9,37.0,0.0,1.0,734.5,0.37535966818168187,743578.0,108.82160186767578,252.0,743578.0
20110627_1,47.0,0.0,2.0,527.0,0.3497811235962784,1199689.0,117.3175277709961,245.0,1199689.0
20110627_10,47.0,0.0,2.0,680.5,0.28362231309745095,1236247.0,112.2942123413086,244.0,1236247.0
20110627_3,47.0,0.0,3.0,538.5,0.33635224630924676,1396490.0,130.5863037109375,253.0,1396490.0
20110627_4,47.0,0.0,2.0,559.0,0.29908409085530036,1096988.0,121.24093627929688,239.0,1096988.0
20110627_5,47.0,0.0,2.0,802.0,0.461729230755488,1102413.0,100.60348510742188,232.0,1102413.0
20110627_6,47.0,0.0,2.0,432.5,0.23127660633431105,990109.0,117.07567596435547,250.0,990109.0
